velocity,geo_altitude,vertical_rate,speed_change,altitude_change,true_track,anomaly,anomaly_score,risk_score,risk_level,latitude,longitude,time_position,next_latitude,next_longitude,pred_latitude,pred_longitude
54.94,701.04,-0.98,-186.97,-7825.740000000001,263.01,Normal,0.06872323411332987,2,LOW,51.5117,-1.4969,2025-08-19 10:30:35,55.9747,37.3993,50.63606000000005,24.772721000000015
27.8,7368.54,2.93,-226.8,-5006.339999999999,2.12,Anomaly,-0.022192937323113004,5,MEDIUM,55.9747,37.3993,2025-08-19 10:31:15,41.5604,41.5005,38.51277099999995,41.21245700000006
200.99,11689.08,0.0,-46.81999999999999,91.44000000000052,253.19,Normal,0.1499603596361005,0,LOW,41.5604,41.5005,2025-08-19 10:31:42,43.403,49.3376,42.32290299999994,49.61094199999996
195.25,12237.72,0.0,-17.569999999999993,5509.259999999999,273.02,Normal,0.12699491305189003,2,LOW,43.403,49.3376,2025-08-19 10:31:44,54.8498,23.2477,47.00004899999997,22.970261999999963
227.21,10538.46,5.85,109.32,7345.6799999999985,191.36,Normal,0.10176048337479138,2,LOW,54.8498,23.2477,2025-08-19 10:31:57,56.1593,52.9708,50.14724799999996,41.33552000000002
228.96,10988.04,0.33,150.14,10439.4,244.59,Normal,0.11542611726452007,2,LOW,56.1593,52.9708,2025-08-19 10:32:21,54.481,25.8016,50.830781000000044,17.00026100000001
241.36,10972.8,0.0,4.730000000000018,-891.5400000000009,84.5,Normal,0.15636242600355243,0,LOW,54.481,25.8016,2025-08-19 10:32:37,43.6205,7.2822,42.174461999999984,1.4237919999999975
77.07,198.12,0.0,-127.16,-11071.86,50.15,Normal,0.05131676703032639,2,LOW,43.6205,7.2822,2025-08-19 10:33:19,37.124,24.7768,35.46457699999995,7.767495999999998
119.59,4091.94,-7.48,-116.29999999999998,-7536.18,147.47,Normal,0.054502139101774594,2,LOW,37.124,24.7768,2025-08-19 10:33:52,54.567,20.3243,47.818215,20.208566999999988
5.56,10927.08,0.0,-210.16,-541.0200000000004,236.31,Normal,0.04788171032462951,0,LOW,54.567,20.3243,2025-08-19 10:34:14,44.8636,22.606,44.48936599999998,25.043034000000034
